epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,430.357,0.33771,0.369,1.01534,0.92162,0.98616,0.99453,0.92105,0.40117,0.35205,0.69404,0.000821206,0.000821206,0.000821206
43,440.868,0.35588,0.37673,1.02055,0.99336,0.98276,0.9945,0.92553,0.39635,0.34144,0.69179,0.000800577,0.000800577,0.000800577
44,451.172,0.35929,0.37203,1.01685,0.97665,0.91737,0.97129,0.89743,0.47752,0.42352,0.77971,0.000779948,0.000779948,0.000779948
45,460.365,0.34282,0.3684,1.00986,0.89344,0.96451,0.99124,0.92448,0.42067,0.43944,0.72134,0.000759318,0.000759318,0.000759318
46,470.727,0.35927,0.36873,1.01793,0.87226,0.9807,0.98975,0.94181,0.3714,0.40624,0.6459,0.000738689,0.000738689,0.000738689
47,481.025,0.35744,0.36927,1.01965,0.92206,0.96688,0.9945,0.91738,0.43149,0.40083,0.70799,0.00071806,0.00071806,0.00071806
48,491.455,0.34871,0.35044,1.01849,0.8638,0.89106,0.9552,0.90282,0.41121,0.60308,0.71774,0.000697431,0.000697431,0.000697431
49,501.076,0.3297,0.35628,0.99997,0.97285,0.98276,0.99271,0.94126,0.41487,0.31958,0.71949,0.000676802,0.000676802,0.000676802
50,510.751,0.35176,0.36051,1.01579,0.95525,0.99837,0.99403,0.92414,0.38981,0.30307,0.67541,0.000656173,0.000656173,0.000656173
51,521.04,0.33877,0.33853,1.01416,0.97713,0.98276,0.99025,0.94732,0.3578,0.27666,0.6476,0.000635544,0.000635544,0.000635544
52,531.478,0.32961,0.32437,1.00146,0.95602,1,0.995,0.92686,0.44431,0.34879,0.72181,0.000614915,0.000614915,0.000614915
53,541.945,0.33017,0.34358,0.99835,0.93803,0.97955,0.99403,0.92169,0.41143,0.31508,0.69563,0.000594286,0.000594286,0.000594286
54,551.162,0.31867,0.32561,0.9956,0.9777,0.98276,0.99403,0.93173,0.42094,0.33826,0.72093,0.000573656,0.000573656,0.000573656
55,561.059,0.32065,0.32993,1.01077,0.98616,0.95878,0.994,0.94871,0.38663,0.29596,0.6602,0.000553027,0.000553027,0.000553027
56,571.429,0.31846,0.32527,0.99989,0.89757,0.98276,0.9945,0.93034,0.37257,0.35452,0.66776,0.000532398,0.000532398,0.000532398
57,581.761,0.30848,0.32811,0.98862,0.99669,0.98654,0.995,0.94055,0.39092,0.29611,0.6707,0.000511769,0.000511769,0.000511769
58,591.585,0.31077,0.30763,0.99449,0.97864,0.98276,0.9945,0.92797,0.41729,0.31767,0.70422,0.00049114,0.00049114,0.00049114
59,601.183,0.3142,0.31756,0.99353,0.96122,0.96663,0.99002,0.93894,0.37358,0.32707,0.67969,0.000470511,0.000470511,0.000470511
60,611.517,0.30425,0.31262,0.98305,0.97668,0.94297,0.99356,0.93092,0.37171,0.30278,0.65683,0.000449882,0.000449882,0.000449882
61,621.873,0.29092,0.29561,0.9751,0.95707,0.97609,0.9925,0.94136,0.36273,0.27891,0.65259,0.000429253,0.000429253,0.000429253
62,632.047,0.31282,0.30962,1.00173,0.93264,0.99526,0.99242,0.93567,0.38079,0.28832,0.66518,0.000408623,0.000408623,0.000408623
63,641.165,0.30932,0.30227,0.9923,0.95145,0.95095,0.99306,0.93202,0.39149,0.34328,0.71566,0.000387994,0.000387994,0.000387994
64,651.124,0.2989,0.30443,0.98916,0.97285,0.96552,0.99124,0.92172,0.4239,0.32123,0.74529,0.000367365,0.000367365,0.000367365
65,661.353,0.31422,0.30898,0.99676,0.99396,0.98276,0.9945,0.93288,0.41931,0.28918,0.72515,0.000346736,0.000346736,0.000346736
66,671.568,0.28939,0.29365,0.96834,0.989,0.96744,0.995,0.94331,0.38991,0.26745,0.66945,0.000326107,0.000326107,0.000326107
67,681.446,0.29622,0.28756,0.98219,0.97074,0.9951,0.995,0.94449,0.36825,0.2496,0.65187,0.000305478,0.000305478,0.000305478
68,690.935,0.28911,0.29391,0.97793,0.98581,0.98884,0.995,0.95011,0.37305,0.25638,0.66462,0.000284849,0.000284849,0.000284849
69,701.096,0.27942,0.27595,0.9808,0.99118,0.9734,0.995,0.92936,0.38855,0.24809,0.6767,0.00026422,0.00026422,0.00026422
70,711.203,0.29036,0.28814,0.98817,0.94648,0.99839,0.995,0.93201,0.3879,0.27217,0.68935,0.00024359,0.00024359,0.00024359
71,722.899,0.24431,0.29923,0.96108,0.99282,1,0.995,0.92259,0.3884,0.26721,0.68681,0.000222961,0.000222961,0.000222961
72,732.543,0.22893,0.22543,0.93369,0.98826,0.99797,0.995,0.9364,0.37022,0.26379,0.67939,0.000202332,0.000202332,0.000202332
73,741.71,0.21682,0.20704,0.93181,0.98634,0.98954,0.995,0.93137,0.40565,0.26774,0.70831,0.000181703,0.000181703,0.000181703
74,751.556,0.21855,0.22074,0.92119,0.98709,0.99873,0.995,0.95027,0.35337,0.23708,0.65659,0.000161074,0.000161074,0.000161074
75,761.392,0.20673,0.20117,0.92282,0.98915,0.99871,0.995,0.9454,0.34481,0.24574,0.62795,0.000140445,0.000140445,0.000140445
76,770.466,0.20943,0.20912,0.9187,0.97988,0.98444,0.995,0.93506,0.35786,0.24203,0.64878,0.000119816,0.000119816,0.000119816
77,779.699,0.19847,0.19901,0.89497,0.98663,0.98376,0.995,0.94231,0.32822,0.24944,0.61579,9.91865e-05,9.91865e-05,9.91865e-05
78,789.637,0.19244,0.20046,0.90742,0.98057,0.98371,0.995,0.9455,0.33285,0.25873,0.62009,7.85574e-05,7.85574e-05,7.85574e-05
79,799.425,0.19244,0.19855,0.92009,0.98869,0.98331,0.995,0.9389,0.3362,0.25617,0.62296,5.79283e-05,5.79283e-05,5.79283e-05
80,808.494,0.18844,0.19554,0.89244,0.99029,0.98458,0.995,0.9398,0.33458,0.2567,0.61828,3.72991e-05,3.72991e-05,3.72991e-05
